class_str,feature,time_label,mean,std,n
shrubs_to_trees,NBR,1997_1998,-0.07861451804637909,0.732850193977356,4584
shrubs_to_trees,NBR,1999_2000,0.1773086041212082,0.7899047136306763,4584
shrubs_to_trees,NBR,2001_2002,0.2944208085536957,0.8802282214164734,4584
shrubs_to_trees,NBR,2003_2004,0.40563157200813293,0.838020920753479,4584
shrubs_to_trees,NBR,2005_2006,0.4379960894584656,0.7343711853027344,4584
shrubs_to_trees,NBR,2007_2008,0.3151263892650604,0.7174184322357178,4584
shrubs_to_trees,NBR,2009_2010,0.3897784948348999,0.7018864750862122,4584
shrubs_to_trees,NBR,2011_2012,0.313448965549469,0.7081342339515686,4584
shrubs_to_trees,NBR,2013_2014,0.24110260605812073,0.7539420127868652,4584
shrubs_to_trees,NBR,2015_2016,0.5710626244544983,0.7296755313873291,4584
shrubs_to_trees,NDMI,1997_1998,-0.27547329664230347,0.7380480766296387,4584
shrubs_to_trees,NDMI,1999_2000,0.0685029923915863,0.7521815896034241,4584
shrubs_to_trees,NDMI,2001_2002,0.22072435915470123,0.8759327530860901,4584
shrubs_to_trees,NDMI,2003_2004,0.36568477749824524,0.8211893439292908,4584
shrubs_to_trees,NDMI,2005_2006,0.38144585490226746,0.7140125632286072,4584
shrubs_to_trees,NDMI,2007_2008,0.2885773479938507,0.7043412923812866,4584
shrubs_to_trees,NDMI,2009_2010,0.2929731607437134,0.7260962128639221,4584
shrubs_to_trees,NDMI,2011_2012,0.28839948773384094,0.7259136438369751,4584
shrubs_to_trees,NDMI,2013_2014,0.19567927718162537,0.7327272295951843,4584
shrubs_to_trees,NDMI,2015_2016,0.5802140235900879,0.6980600953102112,4584
shrubs_to_trees,NDVI,1997_1998,-0.030300788581371307,0.6526679396629333,4584
shrubs_to_trees,NDVI,1999_2000,0.19521638751029968,0.6849608421325684,4584
shrubs_to_trees,NDVI,2001_2002,0.28910961747169495,0.7296562790870667,4584
shrubs_to_trees,NDVI,2003_2004,0.4149682819843292,0.7010575532913208,4584
shrubs_to_trees,NDVI,2005_2006,0.4076223373413086,0.6461758613586426,4584
shrubs_to_trees,NDVI,2007_2008,0.27262014150619507,0.6182408928871155,4584
shrubs_to_trees,NDVI,2009_2010,0.38184306025505066,0.593100368976593,4584
shrubs_to_trees,NDVI,2011_2012,0.25679150223731995,0.6180838346481323,4584
shrubs_to_trees,NDVI,2013_2014,0.19083178043365479,0.642268180847168,4584
shrubs_to_trees,NDVI,2015_2016,0.4693818688392639,0.7005207538604736,4584
shrubs_to_trees,NIR,1997_1998,-0.08366226404905319,0.5728172659873962,4584
shrubs_to_trees,NIR,1999_2000,0.05163504555821419,0.565792977809906,4584
shrubs_to_trees,NIR,2001_2002,0.11826466768980026,0.599308967590332,4584
shrubs_to_trees,NIR,2003_2004,0.12411081045866013,0.5817045569419861,4584
shrubs_to_trees,NIR,2005_2006,0.14895568788051605,0.5486516356468201,4584
shrubs_to_trees,NIR,2007_2008,-0.017033198848366737,0.5302561521530151,4584
shrubs_to_trees,NIR,2009_2010,0.06989523023366928,0.5637526512145996,4584
shrubs_to_trees,NIR,2011_2012,0.008937714621424675,0.5527927875518799,4584
shrubs_to_trees,NIR,2013_2014,-0.09834329783916473,0.5365267395973206,4584
shrubs_to_trees,NIR,2015_2016,0.06716646999120712,0.6468746662139893,4584
shrubs_to_trees,SWIR1,1997_1998,0.1545199453830719,0.4893486201763153,4584
shrubs_to_trees,SWIR1,1999_2000,-0.01492103561758995,0.4707152247428894,4584
shrubs_to_trees,SWIR1,2001_2002,-0.1021476462483406,0.48631274700164795,4584
shrubs_to_trees,SWIR1,2003_2004,-0.1583351343870163,0.485209584236145,4584
shrubs_to_trees,SWIR1,2005_2006,-0.22651605308055878,0.5203067064285278,4584
shrubs_to_trees,SWIR1,2007_2008,-0.216621533036232,0.4827058017253876,4584
shrubs_to_trees,SWIR1,2009_2010,-0.15977521240711212,0.5195501446723938,4584
shrubs_to_trees,SWIR1,2011_2012,-0.13525597751140594,0.5068183541297913,4584
shrubs_to_trees,SWIR1,2013_2014,-0.2616780996322632,0.5078669786453247,4584
shrubs_to_trees,SWIR1,2015_2016,-0.47245854139328003,0.4547760784626007,4584
shrubs_to_trees,SWIR2,1997_1998,0.13368865847587585,0.6513049006462097,4584
shrubs_to_trees,SWIR2,1999_2000,-0.07448749989271164,0.6624237895011902,4584
shrubs_to_trees,SWIR2,2001_2002,-0.14299996197223663,0.6792159080505371,4584
shrubs_to_trees,SWIR2,2003_2004,-0.25866612792015076,0.6017009019851685,4584
shrubs_to_trees,SWIR2,2005_2006,-0.3250107169151306,0.6390198469161987,4584
shrubs_to_trees,SWIR2,2007_2008,-0.33872172236442566,0.6008650660514832,4584
shrubs_to_trees,SWIR2,2009_2010,-0.29612183570861816,0.5976903438568115,4584
shrubs_to_trees,SWIR2,2011_2012,-0.2602168917655945,0.5881418585777283,4584
shrubs_to_trees,SWIR2,2013_2014,-0.3287762999534607,0.5936560034751892,4584
shrubs_to_trees,SWIR2,2015_2016,-0.5579773187637329,0.49569734930992126,4584
stable_shrubs,NBR,1997_1998,-0.056846845895051956,0.9829511642456055,18990
stable_shrubs,NBR,1999_2000,-0.06385185569524765,0.8761986494064331,18990
stable_shrubs,NBR,2001_2002,-0.021594472229480743,0.9473897218704224,18990
stable_shrubs,NBR,2003_2004,0.037751730531454086,1.0198270082473755,18990
stable_shrubs,NBR,2005_2006,0.04916731268167496,0.8597591519355774,18990
stable_shrubs,NBR,2007_2008,0.06883442401885986,0.8954700231552124,18990
stable_shrubs,NBR,2009_2010,0.21024399995803833,1.0321769714355469,18990
stable_shrubs,NBR,2011_2012,0.057774439454078674,0.9871131181716919,18990
stable_shrubs,NBR,2013_2014,0.06415417045354843,0.9921874403953552,18990
stable_shrubs,NBR,2015_2016,0.004217554349452257,0.8896178603172302,18990
stable_shrubs,NDMI,1997_1998,-0.22402147948741913,0.9595317244529724,18990
stable_shrubs,NDMI,1999_2000,-0.18444472551345825,0.8282340168952942,18990
stable_shrubs,NDMI,2001_2002,-0.19235263764858246,0.9593746662139893,18990
stable_shrubs,NDMI,2003_2004,-0.13147994875907898,1.0539214611053467,18990
stable_shrubs,NDMI,2005_2006,-0.09520836174488068,0.8446837663650513,18990
stable_shrubs,NDMI,2007_2008,-0.07578636705875397,0.895328164100647,18990
stable_shrubs,NDMI,2009_2010,0.02911972440779209,1.0381993055343628,18990
stable_shrubs,NDMI,2011_2012,-0.12094186246395111,0.9607490301132202,18990
stable_shrubs,NDMI,2013_2014,-0.09695028513669968,0.9907925128936768,18990
stable_shrubs,NDMI,2015_2016,-0.11235311627388,0.8393308520317078,18990
stable_shrubs,NDVI,1997_1998,0.07386241108179092,0.9147261381149292,18990
stable_shrubs,NDVI,1999_2000,0.07913865149021149,0.7724835872650146,18990
stable_shrubs,NDVI,2001_2002,0.14171047508716583,0.7850456833839417,18990
stable_shrubs,NDVI,2003_2004,0.1987314224243164,0.8400411605834961,18990
stable_shrubs,NDVI,2005_2006,0.1831444948911667,0.7822838425636292,18990
stable_shrubs,NDVI,2007_2008,0.18588760495185852,0.7683772444725037,18990
stable_shrubs,NDVI,2009_2010,0.32320645451545715,0.8849295973777771,18990
stable_shrubs,NDVI,2011_2012,0.18240632116794586,0.8700403571128845,18990
stable_shrubs,NDVI,2013_2014,0.19967679679393768,0.8548262119293213,18990
stable_shrubs,NDVI,2015_2016,0.14368939399719238,0.8196783065795898,18990
stable_shrubs,NIR,1997_1998,0.23625239729881287,0.854841411113739,18990
stable_shrubs,NIR,1999_2000,0.18413768708705902,0.7167195677757263,18990
stable_shrubs,NIR,2001_2002,0.22665585577487946,0.6806405186653137,18990
stable_shrubs,NIR,2003_2004,0.28668084740638733,0.7110353708267212,18990
stable_shrubs,NIR,2005_2006,0.2641066014766693,0.7299759984016418,18990
stable_shrubs,NIR,2007_2008,0.2359207421541214,0.7361973524093628,18990
stable_shrubs,NIR,2009_2010,0.3937307298183441,0.8140157461166382,18990
stable_shrubs,NIR,2011_2012,0.2744200825691223,0.8405044674873352,18990
stable_shrubs,NIR,2013_2014,0.27357736229896545,0.787405252456665,18990
stable_shrubs,NIR,2015_2016,0.24137303233146667,0.762138307094574,18990
stable_shrubs,SWIR1,1997_1998,0.4862508475780487,0.6545423865318298,18990
stable_shrubs,SWIR1,1999_2000,0.365932822227478,0.6415144205093384,18990
