example_id,class_str,pred_class_str,example_type,orig_row_idx,numark,pixel_id,NBR_1997_1998,NBR_1999_2000,NBR_2001_2002,NBR_2003_2004,NBR_2005_2006,NBR_2007_2008,NBR_2009_2010,NBR_2011_2012,NBR_2013_2014,NBR_2015_2016,NDMI_1997_1998,NDMI_1999_2000,NDMI_2001_2002,NDMI_2003_2004,NDMI_2005_2006,NDMI_2007_2008,NDMI_2009_2010,NDMI_2011_2012,NDMI_2013_2014,NDMI_2015_2016,NDVI_1997_1998,NDVI_1999_2000,NDVI_2001_2002,NDVI_2003_2004,NDVI_2005_2006,NDVI_2007_2008,NDVI_2009_2010,NDVI_2011_2012,NDVI_2013_2014,NDVI_2015_2016,NIR_1997_1998,NIR_1999_2000,NIR_2001_2002,NIR_2003_2004,NIR_2005_2006,NIR_2007_2008,NIR_2009_2010,NIR_2011_2012,NIR_2013_2014,NIR_2015_2016,SWIR1_1997_1998,SWIR1_1999_2000,SWIR1_2001_2002,SWIR1_2003_2004,SWIR1_2005_2006,SWIR1_2007_2008,SWIR1_2009_2010,SWIR1_2011_2012,SWIR1_2013_2014,SWIR1_2015_2016,SWIR2_1997_1998,SWIR2_1999_2000,SWIR2_2001_2002,SWIR2_2003_2004,SWIR2_2005_2006,SWIR2_2007_2008,SWIR2_2009_2010,SWIR2_2011_2012,SWIR2_2013_2014,SWIR2_2015_2016,prob_true,prob_pred,prob_shrubs_to_trees,prob_stable_shrubs,prob_stable_trees,prob_stable_wetland,prob_wetland_to_woody
stable_shrubs_false_positive_118,stable_shrubs,stable_wetland,false_positive,15566,BH45,100000002471,0.68123186,0.021927495,-0.2654226,-0.7969503,1.2494512,1.4878019,0.7484039,1.3114767,1.586756,-1.609748,1.0464239,0.2575129,0.16962428,0.09311374,1.1686194,2.0380137,0.91640794,1.1392466,2.1063886,-1.0564591,1.1923196,-0.22444016,-0.52592486,-1.4928614,1.2209444,1.138451,0.458597,1.3777759,1.6377662,-1.1713872,1.263931,1.0362307,0.76361597,0.093656525,1.1392529,1.5003537,0.9899719,1.8028519,1.7106252,0.31092086,0.56462955,0.7839202,-0.14107075,-0.20544916,-0.30615157,-0.32491243,0.06677153,0.68570787,0.42951906,1.6227769,0.3447295,0.69045126,-0.22870453,0.07495509,-0.19668932,-0.36288413,0.37314796,0.6075569,0.19487785,1.9238697,0.028685657,0.9698892,4.2090684e-05,0.028685657,2.533626e-06,0.9698892,0.0013804664
stable_shrubs_false_positive_119,stable_shrubs,stable_wetland,false_positive,124763,CS21,-13999997388,0.25150934,-0.025022034,-0.9586509,1.3654422,-0.57133186,0.06549435,-0.43539548,-1.7277833,0.81027806,0.5188601,0.18182045,-0.42241967,-1.4925525,1.0929018,-0.63789904,-0.32428864,-1.8193197,-2.0372999,0.011861274,0.24383393,0.39145625,0.38683107,-0.16649935,1.7343636,-0.6889435,0.6929555,-0.35810024,-1.3144891,1.7317191,0.9179614,0.43160027,0.44684735,0.0664524,1.288745,0.34939274,1.0327742,-0.29218823,-0.5617191,1.4020566,1.0115366,0.34911248,1.0169419,1.1944255,0.66782725,0.6476795,1.3851835,1.4541435,0.93402225,1.8589455,0.8876555,0.4930829,0.7640663,1.0485085,0.09372135,0.33912936,1.3828346,1.4670091,1.0015379,1.6137425,0.37937036,0.031295914,0.96763724,4.3756223e-05,0.031295914,4.604864e-07,0.96763724,0.0010225808
wetland_to_woody_correct_highconf_120,wetland_to_woody,wetland_to_woody,correct_highconf,97951,GG95,248000003030,-1.2282465,-0.83086216,-1.4040859,-0.10413026,-0.9269822,-0.3448417,-1.0972718,-0.60041463,-1.036967,-1.1133578,-1.7935386,-1.0878743,-1.9060489,-0.40300933,-1.1222055,-0.55102104,-1.7653936,-1.0627561,-1.4953581,-1.3048939,-1.0121725,-0.74463516,-1.1242589,-0.34579363,-1.1802539,-0.4906109,-0.812901,-0.49288687,-0.7802389,-0.9799062,-0.6707605,-0.3801867,-0.92975,-0.37410218,-0.8608241,-0.43958965,-0.496754,-0.43392518,-0.756699,-1.0102824,0.66680837,0.49523747,0.5849102,0.27991602,0.17006774,0.21882541,0.27226606,0.282197,0.31397563,0.12348495,0.9453005,0.63088495,0.92558146,0.11776563,0.23351127,0.020876048,0.61519384,0.35433793,0.17335816,0.2600134,0.933147,0.933147,0.011648669,0.031382702,0.0023117657,0.021509899,0.933147
wetland_to_woody_correct_highconf_121,wetland_to_woody,wetland_to_woody,correct_highconf,130478,GG95,249000003030,-1.2282465,-0.83086216,-1.4040859,-0.10413026,-0.9269822,-0.3448417,-1.0972718,-0.60041463,-1.036967,-1.1133578,-1.7935386,-1.0878743,-1.9060489,-0.40300933,-1.1222055,-0.55102104,-1.7653936,-1.0627561,-1.4953581,-1.3048939,-1.0121725,-0.74463516,-1.1242589,-0.34579363,-1.1802539,-0.4906109,-0.812901,-0.49288687,-0.7802389,-0.9799062,-0.6707605,-0.3801867,-0.92975,-0.37410218,-0.8608241,-0.43958965,-0.496754,-0.43392518,-0.756699,-1.0102824,0.66680837,0.49523747,0.5849102,0.27991602,0.17006774,0.21882541,0.27226606,0.282197,0.31397563,0.12348495,0.9453005,0.63088495,0.92558146,0.11776563,0.23351127,0.020876048,0.61519384,0.35433793,0.17335816,0.2600134,0.933147,0.933147,0.011648669,0.031382702,0.0023117657,0.021509899,0.933147
wetland_to_woody_correct_highconf_122,wetland_to_woody,wetland_to_woody,correct_highconf,84568,AL48,123000002382,-0.029314121,-0.75470245,-0.34079447,-0.24909897,-0.23371284,-0.38463083,0.28506,-0.33643246,-0.3565514,-0.11478246,-0.49246204,-1.1376749,-0.7408328,-0.50711554,-0.4849015,-0.5178447,-0.0123156,-0.88925374,-0.8125771,-0.21676908,0.06545341,-0.10211415,-0.30350485,-0.52767235,0.029432122,-0.26515973,0.2910026,-0.066647455,-0.12737153,0.068871856,0.693411,0.127223,0.20628591,0.10330601,0.17630468,0.007747344,0.61251855,-0.04518663,0.09627271,-0.0852928,1.338817,1.2266929,0.993715,0.93923813,0.603121,0.61397094,0.7351018,0.9313398,0.7411476,0.4027125,1.558885,1.355796,0.9698352,0.6273869,0.7397054,0.8642972,0.7362167,0.9755276,0.86629206,0.35998762,0.92910826,0.92910826,0.016988633,0.034788202,0.0074673747,0.011647538,0.92910826
wetland_to_woody_correct_highconf_123,wetland_to_woody,wetland_to_woody,correct_highconf,56437,GG95,247000003028,-0.7935218,-0.6430322,-1.1969508,-0.022614254,-0.92601514,-0.16567297,-1.5704691,-0.47446883,-0.6950826,-0.7779741,-1.4772133,-0.7733103,-1.6587955,-0.13194448,-0.930535,-0.38436294,-1.7739778,-1.0550789,-1.0537288,-0.98104167,-0.743402,-0.6821659,-1.147051,-0.33188856,-1.0781376,-0.3977077,-1.2049445,-0.5788946,-0.72947335,-0.89230955,-0.6315977,-0.38797057,-1.1083272,-0.47807536,-1.026914,-0.41779006,-0.5697748,-0.5425883,-0.8649429,-0.9449832,0.57020926,0.34429222,0.33855328,-0.040063113,0.026644964,0.10472119,-0.017242808,0.20057514,0.07046881,-0.078080595,0.46835735,0.29371697,0.42403865,-0.12150422,-0.025381906,0.31312963,-0.11559847,0.10417908,-0.13365602,0.15085791,0.9284142,0.9284142,0.008272494,0.039427277,0.0013322923,0.02255365,0.9284142
wetland_to_woody_correct_highconf_124,wetland_to_woody,wetland_to_woody,correct_highconf,131778,GG95,248000003029,-0.8105443,-0.64513016,-1.2068794,-0.022102606,-1.0231959,-0.20905226,-0.9454005,-0.56875646,-0.7556211,-0.9096371,-1.5738631,-0.9498528,-1.784209,-0.3255229,-0.9595968,-0.32663462,-1.5037345,-0.936756,-1.167186,-1.0968996,-0.83279586,-0.83718675,-1.0503768,-0.36249307,-1.0476826,-0.29111394,-0.6213027,-0.44446364,-0.8001886,-0.8392397,-0.5825233,-0.42178166,-0.8616146,-0.3743434,-0.9410698,-0.26519275,-0.4140686,-0.43826148,-0.71776056,-0.9331999,0.8007218,0.5754271,0.63525563,0.19515964,0.110888444,0.24487494,0.1818182,0.20287435,0.19466859,0.08139332,0.7260238,0.63875216,0.46706316,0.035076782,0.19873457,0.2209137,0.20868091,0.25488642,0.044240046,0.29316813,0.92163545,0.92163545,0.012829781,0.03623983,0.0018567358,0.027438186,0.92163545
wetland_to_woody_correct_highconf_125,wetland_to_woody,wetland_to_woody,correct_highconf,129209,AL48,124000002382,0.20910633,-0.406285,0.04384575,-0.09599514,-0.03345263,0.13729866,0.49474418,-0.47731566,-0.2970562,0.027329292,-0.33850348,-0.86156154,-0.5127186,-0.25545833,-0.29576677,-0.24775714,0.2386536,-1.1189699,-0.6676669,0.039495174,0.28042978,0.13763238,-0.037906017,-0.033580378,0.21638323,0.24737322,0.39606622,0.11759525,-0.17551808,0.11126913,0.923553,0.4692259,0.4848396,0.5274008,0.32839823,0.3156113,0.6082232,0.17545564,-0.10601114,-0.040123463,1.4622686,1.2615991,0.9718987,0.91765225,0.59755117,0.638186,0.68893176,0.7769097,0.4250027,0.2794018,1.558885,1.241159,0.96614736,0.8244327,0.59351444,0.6522005,0.588817,0.7651493,0.59944797,0.20900616,0.91337204,0.91337204,0.029729228,0.042635135,0.0057638814,0.008499699,0.91337204
wetland_to_woody_correct_highconf_126,wetland_to_woody,wetland_to_woody,correct_highconf,90324,AL48,125000002382,0.20910633,-0.406285,0.04384575,-0.09599514,-0.03345263,0.13729866,0.49474418,-0.47731566,-0.2970562,0.027329292,-0.33850348,-0.86156154,-0.5127186,-0.25545833,-0.29576677,-0.24775714,0.2386536,-1.1189699,-0.6676669,0.039495174,0.28042978,0.13763238,-0.037906017,-0.033580378,0.21638323,0.24737322,0.39606622,0.11759525,-0.17551808,0.11126913,0.923553,0.4692259,0.4848396,0.5274008,0.32839823,0.3156113,0.6082232,0.17545564,-0.10601114,-0.040123463,1.4622686,1.2615991,0.9718987,0.91765225,0.59755117,0.638186,0.68893176,0.7769097,0.4250027,0.2794018,1.558885,1.241159,0.96614736,0.8244327,0.59351444,0.6522005,0.588817,0.7651493,0.59944797,0.20900616,0.91337204,0.91337204,0.029729228,0.042635135,0.0057638814,0.008499699,0.91337204
wetland_to_woody_correct_highconf_127,wetland_to_woody,wetland_to_woody,correct_highconf,46381,B85,293000002250,-0.63690263,-0.73471516,-1.2458038,-1.2611346,-1.0523144,-0.93758357,-0.9200773,-1.4950777,-1.7685277,-1.236478,0.31497136,0.23922922,-0.37658003,0.02585735,-0.16708,-0.02059672,0.5931176,-1.8186722,-1.6515154,-0.9615824,-1.4211662,-1.5509288,-1.9137288,-1.8315718,-1.672412,-1.6567608,-1.3991772,-1.03275,-1.1526456,-1.2742585,-1.863776,-2.10285,-2.2216513,-2.146471,-1.9903288,-1.7653621,-1.8462973,-0.65609795,-1.1100835,-1.3542076,-2.3598464,-2.1255493,-2.0592313,-2.1323078,-2.122608,-2.01593,-2.038885,0.26265374,-0.06577457,-0.45364463,-1.935228,-1.6056625,-1.6497424,-1.630429,-1.6199577,-1.7106556,-1.7835426,0.62209207,0.51408654,0.007017481,0.90114003,0.90114003,0.0036772136,0.04937197,0.004414675,0.041396063,0.90114003
